Eintrag;Kurzbeschreibung;Langbeschreibung;Lizenz-Info;MS Learn / Weblinks
Azure Policy Insights;Compliance-Berichte und Auswertungen fuer Azure Policies.;Azure Policy Insights liefert Compliance-Status, Detailinformationen zu nicht-konformen Ressourcen und Aenderungshistorien. Daten koennen in Workbooks visualisiert, per API abgefragt und in Governance-Reports integriert werden.;Kostenlos als Teil von Azure Policy.;https://learn.microsoft.com/azure/governance/policy/how-to/get-compliance-data
Azure Private Endpoint;Private IP-Anbindung eines Azure-Dienstes im VNet.;Ein Private Endpoint erstellt eine Netzwerkschnittstelle mit privater IP in einem VNet, die ueber Azure Private Link mit einem PaaS-Dienst (z. B. Storage, SQL, Key Vault) verbunden wird. Der Datenverkehr verlasst nie das Azure-Backbone.;Kosten pro Private Endpoint plus Datenverarbeitungsgebuehr.;https://learn.microsoft.com/azure/private-link/private-endpoint-overview
Azure Private Link;Privater Zugriff auf PaaS- und Partnerdienste ueber Azure-Backbone.;Azure Private Link ermoeglicht den Zugriff auf Azure-PaaS-Dienste und eigene Dienste ueber Private Endpoints im VNet. Der Datenverkehr wird ueber das Microsoft-Backbone-Netzwerk geroutet, ohne das oeffentliche Internet zu nutzen.;Kosten pro Private Link Endpoint und verarbeitete Daten.;https://learn.microsoft.com/azure/private-link/private-link-overview
Azure Purview;Fruehere Bezeichnung fuer Microsoft Purview Data Governance.;Azure Purview war der Name des Datenkatalog- und Data-Governance-Dienstes in Azure. Er wurde in Microsoft Purview integriert und umfasst Data Catalog, Data Map, Data Estate Insights und Data Sharing.;"Umbenannt in Microsoft Purview; Abrechnung nach gescannten Ressourcen.";https://learn.microsoft.com/purview/purview
Azure Security Center;Ehemaliges Sicherheitsportal (jetzt Defender for Cloud).;Azure Security Center war das zentrale Portal fuer Sicherheitsempfehlungen, Secure Score und Bedrohungsschutz in Azure. Die Funktionalitaet wurde in Microsoft Defender for Cloud ueberfuehrt.;"Umbenannt in Defender for Cloud; CSPM kostenlos, CWPP-Plaene kostenpflichtig.";https://learn.microsoft.com/azure/defender-for-cloud/defender-for-cloud-introduction
Azure Sentinel;Cloud-natives SIEM und SOAR (jetzt Microsoft Sentinel).;Azure Sentinel (jetzt Microsoft Sentinel) sammelt Sicherheitsdaten aus Azure, M365, On-Premises und Drittquellen, erkennt Bedrohungen per Analytics Rules und automatisiert Reaktionen ueber Playbooks (Logic Apps). KQL-basierte Abfragen und Workbooks dienen der Investigation.;"Abrechnung nach eingespeistem Logdatenvolumen; Commitment Tiers verfuegbar.";https://learn.microsoft.com/azure/sentinel/overview
Azure Service Endpoint;Optimierter Netzwerkpfad fuer Azure-Dienste aus einem VNet.;Service Endpoints erweitern den VNet-Identitaetsraum auf ausgewaehlte Azure-Dienste (Storage, SQL, Key Vault etc.), sodass der Datenverkehr ueber das Azure-Backbone laeuft. Im Gegensatz zu Private Endpoints bleibt die oeffentliche IP des Dienstes bestehen.;"Kostenlos; kein Datenverarbeitungsaufpreis.";https://learn.microsoft.com/azure/virtual-network/virtual-network-service-endpoints-overview
Azure Service Health;Personalisierter Dienststatus fuer eigene Azure-Ressourcen.;Azure Service Health informiert ueber Dienstprobleme, geplante Wartungen und Health Advisories, die die eigenen Azure-Ressourcen betreffen. Benachrichtigungen lassen sich per Action Group an E-Mail, SMS, Webhook oder ITSM-Systeme weiterleiten.;Kostenlos.;https://learn.microsoft.com/azure/service-health/overview
Azure Service Bus;Verwalteter Messaging-Dienst mit Queues und Topics.;Azure Service Bus stellt zuverlaessige, transaktionale Nachrichtenwarteschlangen und Publish-Subscribe-Topics bereit. Features: Dead-Lettering, Sessions, Duplicate Detection und Auto-Forwarding. Ideal fuer entkoppelte Microservices und Integrationsszenarien.;"Basic, Standard und Premium; nach Operationen und Nachrichtengroesse.";https://learn.microsoft.com/azure/service-bus-messaging/service-bus-messaging-overview
Azure SignalR Service;Verwaltete Echtzeit-Kommunikation fuer Web-Apps.;Azure SignalR Service skaliert SignalR-Verbindungen (WebSockets, Server-Sent Events, Long Polling) ohne eigene Infrastruktur. Szenarien: Live-Dashboards, Chat, Benachrichtigungen, kollaborative Bearbeitung.;"Free-Tier verfuegbar; Standard nach Einheiten und Nachrichten.";https://learn.microsoft.com/azure/azure-signalr/signalr-overview
Azure Spring Cloud;Verwalteter Dienst fuer Spring-Boot-Apps (jetzt Azure Spring Apps).;Azure Spring Cloud (umbenannt in Azure Spring Apps) bietet eine verwaltete Laufzeitumgebung fuer Spring-Boot- und Spring-Cloud-Anwendungen mit Service Discovery, Config Server, Blue-Green-Deployment und integriertem Monitoring.;"Basic, Standard und Enterprise Tier; nach vCPU-Stunden und Speicher.";https://learn.microsoft.com/azure/spring-apps/overview
Azure Stack;Hybrid-Plattformfamilie fuer Azure-Dienste on-premises.;Azure Stack umfasst Azure Stack Hub (vollstaendiges Azure-Erlebnis im eigenen Rechenzentrum), Azure Stack HCI (hyperkonvergente Infrastruktur mit Azure-Integration) und Azure Stack Edge (Edge-Computing-Geraete). Gemeinsames Ziel: konsistente Hybrid-Cloud.;"Azure Stack Hub: Hardware + Software-Lizenz; HCI: Subscription; Edge: Geraet + Nutzung.";https://learn.microsoft.com/azure-stack/
Azure Synapse Analytics;Integrierte Plattform fuer Data Warehousing und Big Data.;Azure Synapse vereint dedizierte SQL-Pools, serverlose SQL-Pools, Spark-Pools und Data-Explorer-Pools in einem Workspace. Synapse Pipelines orchestrieren Datenfluesse. Integration mit Power BI und Azure ML fuer End-to-End-Analysen.;Abrechnung nach genutzten Pools, DWU und Datenverarbeitung.;https://learn.microsoft.com/azure/synapse-analytics/overview-what-is
Azure Table Storage;Schemalose NoSQL-Tabelle im Azure Storage Account.;Azure Table Storage speichert strukturierte, nicht-relationale Daten als Schluessel-Wert-Paare (PartitionKey, RowKey). Einfach, kostenguenstig und massiv skalierbar. Fuer erweiterte Anforderungen empfiehlt Microsoft Azure Cosmos DB Table API.;Kosten nach gespeichertem Datenvolumen und Transaktionen.;https://learn.microsoft.com/azure/storage/tables/table-storage-overview
Azure Traffic Manager;DNS-basierte globale Lastverteilung.;Azure Traffic Manager verteilt DNS-Anfragen anhand von Routing-Methoden (Priority, Weighted, Performance, Geographic, MultiValue, Subnet) auf globale Endpunkte. Health Checks entfernen ausgefallene Endpunkte automatisch.;Abrechnung nach DNS-Abfragen und Health Checks.;https://learn.microsoft.com/azure/traffic-manager/traffic-manager-overview
Azure Update Management;Patch-Verwaltung fuer Azure- und Hybrid-Systeme.;Azure Update Management (jetzt Teil von Azure Update Manager) bewertet fehlende Updates auf Windows und Linux, plant Wartungsfenster und installiert Patches. Unterstuetzt Azure-VMs, Arc-enabled Server und on-premises-Maschinen.;"Azure Update Manager kostenlos fuer Azure-VMs; Arc-Server per Arc-Lizenz.";https://learn.microsoft.com/azure/update-manager/overview
Azure VPN Gateway;Verschluesselte VPN-Verbindungen zwischen Azure und anderen Netzen.;Azure VPN Gateway stellt IPsec/IKE-basierte Site-to-Site-, Point-to-Site- und VNet-to-VNet-Verbindungen bereit. SKUs reichen von Basic bis VpnGw5AZ mit unterschiedlicher Bandbreite, Tunnel-Anzahl und Verfuegbarkeitszonenunterstuetzung.;Abrechnung nach Gateway-SKU (pro Stunde) und Datenverkehr.;https://learn.microsoft.com/azure/vpn-gateway/vpn-gateway-about-vpngateways
Azure Virtual Machine Scale Sets;Automatisch skalierte Gruppen identischer VMs.;VMSS ermoeglicht das Bereitstellen und Verwalten einer Gruppe identischer VMs mit Auto-Scaling-Regeln, Rolling Upgrades, Fault-Domain-Verteilung und Load-Balancer-Integration. Ideal fuer zustandslose Workloads mit variabler Last.;Kosten fuer die genutzten VM-Instanzen und zugehoerige Ressourcen.;https://learn.microsoft.com/azure/virtual-machine-scale-sets/overview
Azure Virtual Network Peering;Direkte Verbindung zweier VNets ueber Azure-Backbone.;VNet Peering verbindet zwei VNets (regional oder global) mit niedriger Latenz und hoher Bandbreite ueber das Microsoft-Backbone-Netzwerk. Peered VNets kommunizieren ueber private IPs, als waeren sie im selben Netz. NSGs und Route Tables bleiben wirksam.;Abrechnung nach ein- und ausgehendem Datenverkehr.;https://learn.microsoft.com/azure/virtual-network/virtual-network-peering-overview
Azure Virtual WAN;Globale Netzwerkplattform fuer WAN, VPN und ExpressRoute.;Azure Virtual WAN vereint Site-to-Site-VPN, Point-to-Site-VPN, ExpressRoute und VNet-Verbindungen in einem verwalteten Hub-Netzwerk. Secured Hubs integrieren Azure Firewall. Routing-Policies und Routing-Intent steuern den Datenfluss.;Abrechnung nach Hub-Typ, Verbindungstyp und Datenverkehr.;https://learn.microsoft.com/azure/virtual-wan/virtual-wan-about
Azure WebJobs;Hintergrundprozesse im Azure App Service.;Azure WebJobs fuehrt Skripte oder Programme (PowerShell, Bash, .NET, Node.js etc.) als Hintergrundtasks im Kontext eines App-Service-Plans aus. Trigger: zeitgesteuert (CRON), kontinuierlich oder manuell. Fuer neue Projekte werden Azure Functions empfohlen.;In den App-Service-Plan-Kosten enthalten.;https://learn.microsoft.com/azure/app-service/webjobs-create
Azure Workbooks;Interaktive Berichte und Dashboards in Azure Monitor.;Azure Workbooks kombinieren Text, KQL-Abfragen, Metriken, Diagramme und Parameter zu interaktiven Berichten. Sie werden in Azure Monitor, Sentinel, Defender und anderen Diensten fuer Analyse und Visualisierung eingesetzt.;Kostenlos (Logdaten verursachen Log-Analytics-Kosten).;https://learn.microsoft.com/azure/azure-monitor/visualize/workbooks-overview
Subscription;Azure-Abonnement fuer Ressourcen und Abrechnung.;Eine Subscription ist die Verwaltungs- und Abrechnungseinheit in Azure. Sie enthaelt Resource Groups mit Ressourcen, unterliegt RBAC- und Policy-Zuweisungen und kann in Management Groups organisiert werden. Mehrere Subscriptions ermoeglichen Kostenstellen- und Umgebungstrennung.;Typ abhaengig vom Vertrag: Pay-as-you-go, EA, CSP, MCA.;https://learn.microsoft.com/azure/cost-management-billing/manage/create-subscription
Subscription ID;Eindeutige Kennung eines Azure-Abonnements.;Die Subscription ID ist eine GUID, die jedes Azure-Abonnement eindeutig identifiziert. Sie wird in CLI-Befehlen, ARM-Templates, API-Aufrufen und Diagnosen referenziert.;Automatisch bei Subscription-Erstellung generiert.;https://learn.microsoft.com/azure/azure-portal/get-subscription-tenant-id
Service Principal;Anwendungsidentitaet fuer authentifizierten Azure-Zugriff.;Ein Service Principal ist die Entra-ID-Darstellung einer registrierten Anwendung oder eines Dienstes. Er erhaelt RBAC-Rollen auf Azure-Ressourcen und authentifiziert sich per Secret, Zertifikat oder Federated Credential.;"Kostenlos; Teil von Entra ID.";https://learn.microsoft.com/entra/identity-platform/app-objects-and-service-principals
User Assigned Managed Identity;Wiederverwendbare verwaltete Identitaet fuer mehrere Ressourcen.;Eine User Assigned Managed Identity wird als eigenstaendige Azure-Ressource erstellt und kann mehreren VMs, Functions, App Services etc. zugewiesen werden. Ideal, wenn mehrere Ressourcen dieselben Berechtigungen benoetigen.;"Kostenlos; Teil von Entra ID.";https://learn.microsoft.com/entra/identity/managed-identities-azure-resources/overview
System Assigned Managed Identity;Automatisch an eine Azure-Ressource gebundene Identitaet.;Eine System Assigned Managed Identity wird direkt mit einer Azure-Ressource erstellt und geloescht. Sie ist 1:1 an die Ressource gebunden. Token werden automatisch von Azure rotiert, ohne manuelle Secret-Verwaltung.;"Kostenlos; Teil von Entra ID.";https://learn.microsoft.com/entra/identity/managed-identities-azure-resources/overview
Availability Set;Verteilung von VMs auf Fehler- und Update-Domaenen.;Ein Availability Set platziert VMs in getrennten Fault Domains (getrennte Stromversorgung/Netzwerk) und Update Domains (gestaffelte Wartung). So wird das Risiko eines gleichzeitigen Ausfalls oder geplanten Neustarts reduziert.;"Kostenlos; nur die VMs verursachen Kosten.";https://learn.microsoft.com/azure/virtual-machines/availability-set-overview
Availability Zone;Physisch getrennter Standort innerhalb einer Azure-Region.;Availability Zones sind voneinander isolierte Rechenzentren innerhalb einer Azure-Region mit unabhaengiger Stromversorgung, Kuehlung und Netzwerk. Zonale oder zonenredundante Bereitstellungen erhoehen die Ausfallsicherheit auf 99,99 % SLA.;"Kein Aufpreis fuer die Zone selbst; zonenredundante Dienste teils teurere SKUs.";https://learn.microsoft.com/azure/reliability/availability-zones-overview
Azure Arc;Azure-Verwaltung fuer Server, Kubernetes und Dienste ausserhalb von Azure.;Azure Arc projiziert externe Ressourcen (on-premises-Server, AWS/GCP-VMs, Kubernetes-Cluster) in Azure Resource Manager. Damit lassen sich Azure Policy, RBAC, Monitoring, Defender und Update Management einheitlich anwenden.;"Arc-Agent kostenlos; Arc-enabled Data Services und Arc-enabled SQL separat.";https://learn.microsoft.com/azure/azure-arc/overview
Azure Advisor;Personalisierte Empfehlungen fuer Azure-Best-Practices.;Azure Advisor analysiert die Konfiguration und Nutzung von Azure-Ressourcen und gibt priorisierte Empfehlungen in den Kategorien Kosten, Sicherheit, Zuverlaessigkeit, Betrieb und Leistung. Empfehlungen koennen per Automation umgesetzt werden.;Kostenlos.;https://learn.microsoft.com/azure/advisor/advisor-overview
Azure Cost Management + Billing;Kostenanalyse, Budgets und Rechnungsverwaltung.;Azure Cost Management + Billing vereint Kostenaufschluesselungen, Budget-Warnungen, Exports, Reservierungsempfehlungen und Rechnungsverwaltung. Zugang fuer EA-, MCA- und CSP-Kunden ueber das Azure-Portal.;"Kostenlos fuer Azure-Verbrauch; AWS-Konnektor optional kostenpflichtig.";https://learn.microsoft.com/azure/cost-management-billing/
Azure API Management;API-Gateway fuer Veroeffentlichung, Schutz und Monitoring.;Azure API Management stellt ein Gateway vor Backend-APIs, das Authentifizierung, Rate Limiting, Caching, Transformation und Monitoring bereitstellt. Entwicklerportale ermoeglichen Self-Service-API-Zugriff. Unterstuetzt REST, SOAP, GraphQL und WebSocket.;Developer, Basic, Standard, Premium und Consumption Tier.;https://learn.microsoft.com/azure/api-management/api-management-key-concepts
Azure DNS;Verwalteter DNS-Hosting-Dienst in Azure.;Azure DNS hostet DNS-Zonen auf dem globalen Azure-Netzwerk mit Anycast-Routing. Unterstuetzt oeffentliche DNS-Zonen, private DNS-Zonen (VNet-Namensaufloesung) und DNS-basierte Routing-Szenarien. Integration mit Azure-Diensten und ARM-Templates.;Abrechnung nach gehosteten Zonen und DNS-Abfragen.;https://learn.microsoft.com/azure/dns/dns-overview
Azure DDoS Protection;Automatischer Schutz vor DDoS-Angriffen auf Azure-Ressourcen.;Azure DDoS Protection (Standard / Network Protection) erkennt und entschaerft volumetrische und Protokoll-Angriffe auf oeffentliche Azure-Endpunkte automatisch. Telemetrie, Warnungen und Angriffsberichte sind in Azure Monitor integriert.;DDoS Network Protection: feste Monatspauschale plus Overage.;https://learn.microsoft.com/azure/ddos-protection/ddos-protection-overview
Azure Image Builder;Automatisierte Erstellung standardisierter VM-Images.;Azure Image Builder (AIB) automatisiert das Erstellen und Anpassen von Windows- und Linux-VM-Images auf Basis von Packer. Images werden in Shared Image Gallery (Azure Compute Gallery) veroeffentlicht und stehen fuer VMSS, AVD und Einzelbereitstellungen zur Verfuegung.;"Kostenlos; nur die Build-VM und Storage erzeugen Kosten.";https://learn.microsoft.com/azure/virtual-machines/image-builder-overview
Azure Backup Vault;Moderner Tresor fuer Azure-Backup-Szenarien.;Ein Azure Backup Vault ist der Speicherort fuer Backup-Daten neuerer Azure-Workloads (Blobs, Disks, PostgreSQL). Er ergaenzt den klassischen Recovery Services Vault und wird fuer zukuenftige Backup-Features priorisiert.;Kosten nach geschuetzter Datenmenge und Redundanzstufe.;https://learn.microsoft.com/azure/backup/backup-vault-overview
Azure Recovery Services Vault;Klassischer Tresor fuer Backup und Site Recovery.;Der Recovery Services Vault speichert Backup-Daten und Site-Recovery-Konfigurationen fuer VMs, SQL-Datenbanken, File Shares und on-premises-Workloads. Soft Delete, Cross-Region Restore und Immutable Vaults erhoehen die Datensicherheit.;Kosten nach geschuetzten Instanzen und Speicherverbrauch.;https://learn.microsoft.com/azure/backup/backup-azure-recovery-services-vault-overview
Azure App Configuration;Zentraler Konfigurationsspeicher und Feature-Flag-Dienst.;Azure App Configuration verwaltet Anwendungseinstellungen, Verbindungszeichenfolgen und Feature Flags zentral. Apps beziehen Konfigurationen dynamisch ohne Neustart. Integration mit Key Vault fuer Secrets und mit Azure DevOps fuer CI/CD.;"Free und Standard Tier; nach Anfragen und Speicher.";https://learn.microsoft.com/azure/azure-app-configuration/overview
Azure Database for PostgreSQL;Verwalteter PostgreSQL-Datenbankdienst.;Azure Database for PostgreSQL Flexible Server bietet vollstaendig verwaltetes PostgreSQL mit Hochverfuegbarkeit, automatischen Backups, Skalierung und Patchmanagement. Unterstuetzt PostgreSQL-Versionen 13-16 mit Extensions wie PostGIS, pgvector.;Abrechnung nach vCores, Speicher und Backup-Speicher.;https://learn.microsoft.com/azure/postgresql/flexible-server/overview
Azure Database for MySQL;Verwalteter MySQL-Datenbankdienst.;Azure Database for MySQL Flexible Server stellt verwaltetes MySQL mit Zone-redundanter Hochverfuegbarkeit, automatischen Backups und intelligenter Leistungsoptimierung bereit. Unterstuetzt MySQL 5.7 und 8.0.;Abrechnung nach vCores, Speicher und Backup-Speicher.;https://learn.microsoft.com/azure/mysql/flexible-server/overview
Azure Load Testing;Verwalteter Lasttest-Dienst fuer Webanwendungen.;Azure Load Testing fuehrt Apache-JMeter-basierte Lasttests in Azure aus, um Leistungsgrenzen, Skalierungsverhalten und Regressionsprobleme zu identifizieren. CI/CD-Integration ermoeglicht automatisierte Performance-Gates in Pipelines.;Abrechnung nach virtuellen Benutzerstunden.;https://learn.microsoft.com/azure/load-testing/overview-what-is-azure-load-testing
Azure Chaos Studio;Verwalteter Dienst fuer kontrollierte Resilienztests.;Azure Chaos Studio injiziert kontrollierte Fehler (VM-Shutdown, Netzwerk-Latenz, DNS-Ausfall etc.) in Azure-Ressourcen, um die Widerstandsfaehigkeit von Systemen zu pruefen. Experimente werden deklarativ definiert und auditiert.;Abrechnung nach Experimentminuten.;https://learn.microsoft.com/azure/chaos-studio/chaos-studio-overview
Bicep;Domaenenspezifische Sprache fuer Azure Infrastructure as Code.;Bicep ist die von Microsoft empfohlene Nachfolgesprache fuer ARM Templates. Sie bietet praegnantere Syntax, Module, Typ-Validierung und native Integration in Azure CLI, VS Code und Azure DevOps. Bicep-Dateien werden transparent in ARM-JSON kompiliert.;"Kostenlos; Open Source.";https://learn.microsoft.com/azure/azure-resource-manager/bicep/overview
Management Group;Hierarchische Organisation von Azure-Subscriptions.;Management Groups bilden eine Baumstruktur ueber Subscriptions hinweg. Azure Policy, RBAC und Budgets koennen auf Management-Group-Ebene zugewiesen werden und vererben sich automatisch an untergeordnete Subscriptions und Gruppen.;Kostenlos.;https://learn.microsoft.com/azure/governance/management-groups/overview
Role Based Access Control;Rollenbasierte Zugriffskontrolle in Azure.;Azure RBAC steuert Zugriffsrechte ueber Rollenzuweisungen (Role Assignment = Sicherheitsprinzipal + Rolle + Scope). Vordefinierte Rollen (Owner, Contributor, Reader u.v.m.) und benutzerdefinierte Rollen ermoeglichen feingranulare Berechtigungen auf Ressourcen, Gruppen, Subscriptions und Management Groups.;"Kostenlos; Teil jeder Azure Subscription.";https://learn.microsoft.com/azure/role-based-access-control/overview
