Eintrag;Kurzbeschreibung;Langbeschreibung;Lizenz-Info;MS Learn / Weblinks
Microsoft Visio;Diagramm- und Visualisierungstool fuer Prozesse und Strukturen.;Visio erstellt Flussdiagramme, Organigramme, Netzwerkdiagramme, Grundrisse und BPMN-Prozessdarstellungen. Visio for the Web erlaubt Co-Authoring und Einbettung in SharePoint und Teams.;Separate Lizenz: Visio Plan 1 oder Plan 2. Basis-Anzeige in M365 enthalten.;https://learn.microsoft.com/office/client-developer/visio/visio-online
Microsoft OneNote;Digitales Notizbuch fuer strukturierte Notizen.;OneNote organisiert Notizen in Notizbuechern, Abschnitten und Seiten mit Freihand, Tabellen, Dateianlagen und Tags. Notizbuecher koennen in Teams, SharePoint und Outlook eingebettet und im Team geteilt werden.;Enthalten in allen M365-Plaenen.;https://learn.microsoft.com/office/client-developer/onenote/onenote-developer-reference
Microsoft Outlook Online;Webbasierte E-Mail-, Kalender- und Kontaktverwaltung.;Outlook Online (outlook.office.com) bietet E-Mail, Kalender, Kontakte und Aufgaben im Browser ohne Desktop-Installation. Features wie Focused Inbox, Quick Steps und Add-ins stehen auch im Web zur Verfuegung.;Enthalten in allen M365-Plaenen mit Exchange Online.;https://support.microsoft.com/outlook
Microsoft Outlook Mobile;Outlook-App fuer Smartphones und Tablets.;Outlook Mobile (iOS/Android) bietet E-Mail, Kalender, Kontakte und Dateianhänge mit Swipe-Gesten, Fokus-Posteingang und Integration von Cloud-Speichern. Intune-App-Protection-Policies sichern Unternehmensdaten.;"Kostenlose App; Unternehmensfunktionen ueber M365-Lizenz.";https://learn.microsoft.com/exchange/clients-and-mobile-in-exchange-online/outlook-for-ios-and-android/outlook-for-ios-and-android
Microsoft Word Online;Browserbasierte Version von Microsoft Word.;Word Online ermoeglicht das Erstellen und gemeinsame Bearbeiten von Dokumenten im Browser mit Echtzeit-Co-Authoring. Funktionsumfang gegenueber Desktop-App reduziert, deckt aber gaengigste Szenarien ab.;Enthalten in allen M365-Plaenen.;https://support.microsoft.com/word
Microsoft Excel Online;Browserbasierte Version von Microsoft Excel.;Excel Online bietet Tabellenkalkulation, Formeln, Diagramme und gemeinsame Bearbeitung im Browser. Erweiterte Features wie Power Query, Makros und Pivot-Berichte sind teilweise eingeschraenkt.;Enthalten in allen M365-Plaenen.;https://support.microsoft.com/excel
Microsoft PowerPoint Online;Browserbasierte Version von Microsoft PowerPoint.;PowerPoint Online ermoeglicht das Erstellen, Bearbeiten und Praesentieren von Folien im Browser mit Echtzeit-Zusammenarbeit. Animationen und erweiterte Designfeatures sind teilweise reduziert.;Enthalten in allen M365-Plaenen.;https://support.microsoft.com/powerpoint
Microsoft Office for the Web;Sammelbezeichnung fuer browserbasierte Office-Anwendungen.;Office for the Web umfasst Word, Excel, PowerPoint, OneNote und Outlook im Browser. Die Apps starten aus OneDrive, SharePoint oder dem M365-Portal und ermoeglichen plattformunabhaengiges Arbeiten.;"Enthalten in allen M365-Plaenen; eingeschraenkt auch kostenlos nutzbar.";https://learn.microsoft.com/office/dev/add-ins/overview/office-add-ins
Microsoft Office Scripts;TypeScript-Automatisierungen in Excel for the Web.;Office Scripts ermoeglichen aufgezeichnete oder manuell geschriebene TypeScript-Skripte zur Automatisierung wiederkehrender Aufgaben in Excel Online. Scripts koennen ueber Power Automate-Flows ausgeloest werden.;Enthalten in M365 Business Standard+, E3, E5.;https://learn.microsoft.com/office/dev/scripts/overview/excel
Microsoft Office Lens;Mobile App zum Digitalisieren von Dokumenten und Whiteboards.;Office Lens erfasst Fotos von Dokumenten, Whiteboards und Visitenkarten, korrigiert Perspektive und Belichtung und speichert als PDF, Word oder Bild in OneDrive oder OneNote. Funktion in OneDrive- und Outlook-Mobile-Apps integriert.;"Kostenlose App; Speicherung ueber M365-Konto.";https://support.microsoft.com/office/microsoft-lens-for-android-ec124207-0049-4201-afaf-b5874a8e6f2b
Microsoft Office Deployment Tool;Werkzeug zur automatisierten Office-Bereitstellung.;Das ODT (setup.exe mit XML-Konfiguration) ermoeglicht Offline-Installation, Kanalsteuerung, Sprachpakete und Anpassung der M365-Apps-Installation. Haeufig in Kombination mit Intune oder SCCM eingesetzt.;"Kostenloses Tool; setzt M365-Lizenzen voraus.";https://learn.microsoft.com/deployoffice/overview-office-deployment-tool
Microsoft Editor;KI-gestuetzter Schreibassistent fuer Rechtschreibung und Stil.;Microsoft Editor prueft Texte auf Rechtschreibung, Grammatik, Klarheit, Praegnanz und inklusive Sprache in Word, Outlook, Edge und als Browser-Extension. Premium-Features (Stilverfeinerung) erfordern eine M365-Lizenz.;"Basisfunktion kostenlos; Premium in M365 Personal/Business/E3/E5.";https://support.microsoft.com/editor
Microsoft Power BI;Analyse- und Reporting-Plattform fuer Datenvisualisierung.;"Power BI verbindet sich mit Datenquellen (SQL, SharePoint, Excel, REST-APIs u.v.m.), modelliert Daten und erstellt interaktive Dashboards und Berichte. Desktop kostenlos; Freigabe ueber Power BI Service erfordert Pro- oder Premium-Lizenz.";"Power BI Pro in M365 E5 enthalten; separat als Pro oder Premium Per User.";https://learn.microsoft.com/power-bi/fundamentals/power-bi-overview
Microsoft Power Platform;Low-Code-Suite fuer Analyse, Apps und Automatisierung.;Die Power Platform umfasst Power BI, Power Apps, Power Automate, Power Pages und Copilot Studio. Fachbereiche erstellen datengetriebene Apps, Automatisierungen und Analysen mit minimalem Coding-Aufwand.;"Basisfunktionen in M365 enthalten; Premium-Features separat lizenziert.";https://learn.microsoft.com/power-platform/
Microsoft Power Virtual Agents;Low-Code-Chatbot-Erstellung (jetzt Copilot Studio).;Power Virtual Agents ermoeglichte dialogbasierte Bots ohne Code. Die Funktionalitaet ist in Microsoft Copilot Studio aufgegangen, das erweiterte KI-Funktionen und generative Antworten bietet.;"In Copilot Studio ueberfuehrt; separate Lizenz erforderlich.";https://learn.microsoft.com/microsoft-copilot-studio/fundamentals-what-is-copilot-studio
Microsoft Endpoint Manager;Fruehere Sammelbezeichnung fuer Intune + ConfigMgr.;Microsoft Endpoint Manager fasste Intune (Cloud) und Configuration Manager (on-premises) unter einem Markennamen zusammen. Die Bezeichnung wurde zugunsten von Microsoft Intune (inkl. Intune Suite) vereinfacht.;"Bezeichnung veraltet; siehe Microsoft Intune.";https://learn.microsoft.com/mem/intune/fundamentals/what-is-intune
Microsoft Cloud App Security;Fruehere Bezeichnung fuer Defender for Cloud Apps.;Microsoft Cloud App Security war der CASB-Dienst zur Ueberwachung und Kontrolle von SaaS-Anwendungen. Der Dienst heisst jetzt Microsoft Defender for Cloud Apps.;"Umbenannt in Defender for Cloud Apps; in M365 E5 oder als Add-on.";https://learn.microsoft.com/defender-cloud-apps/what-is-defender-for-cloud-apps
Microsoft Defender for Identity;Erkennung identitaetsbasierter Angriffe in hybriden AD-Umgebungen.;Defender for Identity ueberwacht AD-Signale (Kerberos, LDAP, DNS) und erkennt laterale Bewegungen, Pass-the-Hash, Golden-Ticket-Angriffe und verdaechtige Kontoaktivitaeten. Sensoren auf Domain Controllern installiert.;Enthalten in M365 E5 oder als EMS E5 / Defender for Identity Add-on.;https://learn.microsoft.com/defender-for-identity/what-is
Microsoft Defender for Cloud Apps;CASB-Dienst fuer Ueberwachung und Kontrolle von Cloud-Apps.;Defender for Cloud Apps erkennt Shadow-IT, bewertet App-Risiken, setzt Session- und Access-Policies durch und ueberwacht Datenfluesse in SaaS-Anwendungen. Integration mit Conditional Access ermoeglicht Echtzeit-Session-Kontrolle.;Enthalten in M365 E5, EMS E5 oder als Standalone-Lizenz.;https://learn.microsoft.com/defender-cloud-apps/what-is-defender-for-cloud-apps
Microsoft Defender XDR;Erweiterte Bedrohungserkennung ueber Identitaeten, Endpunkte und E-Mail.;Defender XDR (Extended Detection and Response) korreliert Signale aus Defender for Endpoint, Defender for Office 365, Defender for Identity und Defender for Cloud Apps zu einem einheitlichen Bedrohungsbild mit automatisierter Untersuchung.;"Vollumfang in M365 E5; einzelne Defender-Produkte separat lizenzierbar.";https://learn.microsoft.com/defender-xdr/microsoft-365-defender
Microsoft Advanced eDiscovery;Juristische Suche und Aufbereitung grosser Datenbestaende.;Advanced eDiscovery (jetzt Purview eDiscovery Premium) unterstuetzt Legal-Hold, Sammlungen, Review-Sets, KI-gestuetzte Relevanzanalyse und Redaction fuer juristische und Compliance-Teams.;Enthalten in M365 E5 oder als Purview eDiscovery Add-on.;https://learn.microsoft.com/purview/ediscovery
Microsoft Exchange Hybrid;Koexistenz von On-Premises-Exchange und Exchange Online.;"Exchange Hybrid verbindet lokale Exchange-Server (2016/2019) mit Exchange Online ueber den Hybrid Configuration Wizard. Postfaecher koennen zwischen on-premises und Cloud verschoben werden; Frei/Gebucht, Mailtipps und Cross-Premises-Berechtigungen funktionieren nahtlos.";"Exchange Online-Lizenz + lokale Exchange-Lizenz; Hybrid-Agent oder Classic Hybrid.";https://learn.microsoft.com/exchange/exchange-hybrid
Microsoft SharePoint Hub Sites;Verknuepfung verwandter SharePoint-Websites.;Hub Sites buendeln mehrere SharePoint-Websites unter gemeinsamer Navigation, Suche, News-Aggregation und Designvorgaben. Sie schaffen eine logische Struktur (z. B. pro Abteilung oder Region) ohne starre Hierarchie.;Enthalten in SharePoint Online-Plaenen.;https://learn.microsoft.com/sharepoint/planning-hub-sites
Microsoft Search;Organisationsweite Suche ueber M365-Inhalte.;Microsoft Search durchsucht Dateien, E-Mails, Personen, Teams-Chats, SharePoint-Seiten und externe Datenquellen ueber Konnektoren. Suchergebnisse erscheinen in der Bing-Leiste, SharePoint, Office.com und Teams.;Enthalten in allen M365-Plaenen.;https://learn.microsoft.com/microsoftsearch/overview-microsoft-search
Microsoft Bookings Mobile;Mobile Terminverwaltung ueber die Bookings-App.;Bookings Mobile ermoeglicht Mitarbeitenden, Termine unterwegs einzusehen, zu bestaetigen oder abzusagen. Buchungen, Kunden-Infos und Kalenderansichten stehen auf iOS und Android zur Verfuegung.;In Bookings-Lizenz enthalten (Business Standard+, E3, E5).;https://learn.microsoft.com/microsoft-365/bookings/bookings-overview
Microsoft Loop Components;Einbettbare, synchronisierte Inhaltselemente aus Loop.;Loop Components (z. B. Tabellen, Aufgabenlisten, Abstimmungen) koennen in Teams-Chats, Outlook-Mails und Word-Dokumente eingefuegt werden. Aenderungen synchronisieren sich in Echtzeit ueber alle Einbettungsorte.;Enthalten in M365 Business Standard+, E3, E5.;https://learn.microsoft.com/microsoft-365/loop/loop-components-teams
Microsoft Loop Workspaces;Gemeinsame Arbeitsbereiche in Microsoft Loop.;Loop Workspaces buendeln Seiten und Komponenten zu Projektbereichen. Teilnehmer koennen Inhalte strukturieren, kommentieren und gemeinsam bearbeiten, vergleichbar mit einem leichtgewichtigen Wiki fuer Projektteams.;Enthalten in M365 Business Standard+, E3, E5.;https://learn.microsoft.com/microsoft-365/loop/loop-workspaces-storage-permission
Microsoft Syntex;KI-gestuetzte Dokumentenverarbeitung (jetzt SharePoint Premium).;Microsoft Syntex (umbenannt in SharePoint Premium Content AI) klassifiziert Dokumente, extrahiert Metadaten und automatisiert Content-Workflows mithilfe von KI-Modellen. Szenarien: Rechnungsverarbeitung, Vertragsanalyse, Dokumentensortierung.;Pay-as-you-go oder als SharePoint Premium Add-on.;https://learn.microsoft.com/microsoft-365/syntex/syntex-overview
Bedingter Zugriff;Deutsche Bezeichnung fuer Conditional Access.;Bedingter Zugriff ist die eingedeutschte Variante von Conditional Access in der M365-Administration. Richtlinien steuern den Zugriff abhaengig von Benutzer, Geraet, Standort und Risikostufe, identisch mit der englischen Funktion.;Erfordert Entra ID P1 (in M365 E3 enthalten).;https://learn.microsoft.com/entra/identity/conditional-access/overview
Benutzerprinzipal;Identitaetsobjekt eines Benutzers im Verzeichnisdienst.;Ein Benutzerprinzipal (User Principal) repraesentiert einen authentifizierten Benutzer in Entra ID oder Active Directory. Er traegt einen UPN (User Principal Name), besitzt Gruppenmitgliedschaften und erhaelt Rollen und Berechtigungen.;Grundbestandteil jeder Entra-ID-Instanz.;https://learn.microsoft.com/entra/fundamentals/how-to-create-delete-users
Dienstprinzipal;Sicherheitsobjekt einer Anwendung oder eines Dienstes in Entra ID.;Ein Dienstprinzipal (Service Principal) ist die Identitaet, unter der eine registrierte Anwendung oder ein verwalteter Dienst auf Ressourcen zugreift. Er wird bei der App-Registrierung automatisch erstellt und erhaelt API-Berechtigungen.;Grundbestandteil jeder Entra-ID-Instanz.;https://learn.microsoft.com/entra/identity-platform/app-objects-and-service-principals
Identity Access Management;Verwaltung digitaler Identitaeten und Zugriffsrechte.;Identity Access Management (IAM) umfasst Richtlinien, Prozesse und Technologien zur Steuerung von Identitaeten, Authentifizierung, Autorisierung und Zugriffsueberpruefungen. In Microsoft 365 bildet Entra ID die IAM-Grundlage.;"Entra ID Free inkl.; erweiterte Features ab P1/P2.";https://learn.microsoft.com/entra/fundamentals/introduction-identity-access-management
Identity Protection & Governance;Risikoerkennung, Lebenszyklus und Zugriffskontrolle fuer Identitaeten.;"Identity Protection erkennt Anmelderisiken und kompromittierte Konten; Identity Governance steuert Zugriffsueberpruefungen, Entitlement Management und Lebenszyklusworkflows. Fundament fuer eine Zero-Trust-Identitaetsstrategie.";Erfordert Entra ID P2 (in M365 E5 enthalten).;https://learn.microsoft.com/entra/id-governance/identity-governance-overview
Identitaetssicherheitsbewertung;Sicherheitsbewertung des Identitaetsschutzes.;Die Identitaetssicherheitsbewertung (Identity Secure Score) bewertet die Konfiguration von MFA, Conditional Access, PIM und weiteren Identitaetsschutzmassnahmen. Sie ergaenzt den Microsoft Secure Score um identitaetsspezifische Empfehlungen.;Verfuegbar ab Entra ID P1.;https://learn.microsoft.com/entra/identity/monitoring-health/concept-identity-secure-score
Mandant bzw. Tenant;Organisatorisch getrennte M365- oder Entra-Instanz.;Ein Mandant (Tenant) ist die isolierte Instanz eines Unternehmens in Microsoft 365 und Entra ID. Jeder Tenant hat eine eigene Tenant-ID, Domaenen, Benutzer und Konfigurationen. Multi-Tenant-Szenarien erfordern Cross-Tenant-Zugriffsrichtlinien.;Wird bei der ersten M365-Lizenzierung angelegt.;https://learn.microsoft.com/entra/fundamentals/whatis
Privileged Identity Management;Zeitlich begrenzte Aktivierung privilegierter Rollen.;PIM ermoeglicht Just-in-Time-Rollenzuweisungen fuer Entra-ID- und Azure-Rollen mit Genehmigungsworkflow, Begruendungspflicht und Audit-Trail. So wird das Risiko durch dauerhaft aktive Admin-Rechte minimiert.;Erfordert Entra ID P2 (in M365 E5 enthalten).;https://learn.microsoft.com/entra/id-governance/privileged-identity-management/pim-configure
Single Sign-On;Einmalige Anmeldung fuer mehrere Anwendungen.;SSO ermoeglicht Benutzern, sich einmal bei Entra ID zu authentifizieren und anschliessend ohne erneute Anmeldung auf verbundene SaaS-Anwendungen, On-Premises-Apps und Azure-Ressourcen zuzugreifen. Protokolle: SAML, OIDC, WS-Federation.;"Grundfunktion in Entra ID Free; App-Proxy und erweiterte Features ab P1.";https://learn.microsoft.com/entra/identity/enterprise-apps/what-is-single-sign-on
Tenant ID;Eindeutige Kennung einer Entra-ID-/M365-Instanz.;Die Tenant ID ist eine GUID, die den Mandanten eindeutig identifiziert. Sie wird bei API-Aufrufen, App-Registrierungen, Conditional-Access-Konfigurationen und Cross-Tenant-Szenarien benoetigt.;Automatisch bei Tenant-Erstellung generiert.;https://learn.microsoft.com/entra/fundamentals/how-to-find-tenant
Zugriffstoken;Sicherheitstoken fuer autorisierte API-Zugriffe.;Ein Zugriffstoken (Access Token) wird nach erfolgreicher Authentifizierung ueber OAuth 2.0 / OIDC ausgestellt und berechtigt den Aufrufer, auf Ressourcen (z. B. Microsoft Graph) zuzugreifen. Token haben eine begrenzte Lebensdauer und enthalten Claims zu Benutzer und Berechtigungen.;Bestandteil der Entra-ID-Authentifizierungsinfrastruktur.;https://learn.microsoft.com/entra/identity-platform/access-tokens
Benutzerprinzipalname;Eindeutiger Anmeldename im UPN-Format.;Der Benutzerprinzipalname (User Principal Name / UPN) hat das Format benutzer@domaene.de und dient als primaerer Anmeldename in Entra ID und Active Directory. In Hybrid-Szenarien muss der UPN zwischen on-premises AD und Entra ID uebereinstimmen.;Grundbestandteil jedes Benutzerkontos.;https://learn.microsoft.com/entra/identity/hybrid/connect/plan-connect-userprincipalname
App-Registrierung;Anlegen einer Anwendung in Entra ID.;Eine App-Registrierung definiert eine Anwendungsidentitaet in Entra ID mit Client-ID, Redirect-URIs, API-Berechtigungen und Zertifikaten/Secrets. Voraussetzung fuer OAuth-basierte Authentifizierung und Microsoft-Graph-Zugriffe.;Grundfunktion in Entra ID Free.;https://learn.microsoft.com/entra/identity-platform/quickstart-register-app
Lizenzzuweisung;Zuordnung von M365-Lizenzplaenen an Benutzer oder Gruppen.;Lizenzzuweisung erfolgt direkt, gruppenbasiert oder per PowerShell. Serviceplaene innerhalb einer SKU werden aktiviert oder deaktiviert. Gruppenbasierte Lizenzierung erfordert mindestens Entra ID P1.;"Direktzuweisung in allen Plaenen; gruppenbasiert ab Entra ID P1.";https://learn.microsoft.com/entra/identity/users/licensing-groups-assign
Gastzugriff;Kontrollierter Zugriff fuer externe Personen.;Gastzugriff (B2B-Zusammenarbeit) ermoeglicht externen Benutzern den Zugriff auf Teams, SharePoint, Planner und weitere Ressourcen mit eigenem Konto. Cross-Tenant-Zugriffsrichtlinien und Conditional Access steuern den Gast-Lebenszyklus.;"Grundfunktion in allen M365-Plaenen; erweiterte Steuerung ab Entra ID P1.";https://learn.microsoft.com/entra/external-id/what-is-b2b
Freigegebenes Postfach;Gemeinsam genutztes Exchange-Postfach ohne eigenes Login.;Ein Shared Mailbox wird mehreren Benutzern ueber Vollzugriff oder Senden-als-Berechtigung zugaenglich gemacht. Es benoetigt keine eigene Lizenz bis 50 GB. Typische Szenarien: info@, support@, bewerbung@ etc.;"Kostenlos bis 50 GB; ab 50 GB Exchange-Plan-Lizenz erforderlich.";https://learn.microsoft.com/exchange/collaboration-exo/shared-mailboxes
Retention Label;Inhaltsklassifizierung nach Aufbewahrungs- und Loeschregeln.;Retention Labels werden Dokumenten oder E-Mails zugewiesen und steuern Aufbewahrungsdauer, Loeschzeitpunkt und Records-Deklaration. Anwendung manuell, automatisch (per Bedingung) oder ueber trainierbare Klassifizierer.;"Basisfunktionen in E3; Auto-Apply und Records Management ab E5.";https://learn.microsoft.com/purview/retention
Datenresidenz;Geografischer Speicherort von M365-Daten.;Datenresidenz bestimmt, in welchen Rechenzentrumsregionen ruhende Kundendaten (Data at Rest) gespeichert werden. Microsoft bietet Advanced Data Residency und Multi-Geo-Funktionen fuer regulatorische Anforderungen (z. B. EU Data Boundary).;"Standard-Datenresidenz in allen Plaenen; Multi-Geo und ADR als Add-on.";https://learn.microsoft.com/microsoft-365/enterprise/o365-data-locations
